1672769331,105,771563
1672855522,118,1142642
1672941715,128,1260071
1673027910,134,1378219
1673114105,139,1553291
1673200301,141,1653523
1673286498,142,1669757
1673372696,140,1567448
1673458895,137,1446373
1673545094,132,1311322
1673631295,124,1198958
1673717498,113,1046735
1673803702,98,291978
1675188543,105,770941
1675274734,118,1141018
1675360927,127,1244318
1675447121,134,1374858
1675533317,138,1507700
1675619513,141,1648876
1675705710,142,1708860
1675744713,139,1542452
1675791908,140,1568186
1675830909,141,1636044
1675878106,138,1483463
1675917106,142,1689696
1675964306,132,1311231
1676003304,140,1586783
1676050507,124,1199083
1676089503,137,1464441
1676136709,114,1068839
1676175704,131,1307884
1676222913,100,455962
1676261905,124,1214223
1676348108,113,1060424
1676434313,99,381786
1677607755,104,718397
1677693946,117,1126582
1677780139,127,1243072
1677819154,105,778147
1677866333,134,1372510
1677905344,118,1150025
1677952528,139,1545544
1677991536,128,1265024
1678038725,140,1594576
1678077730,134,1379533
1678124921,142,1703764
1678163925,138,1508282
1678211119,141,1655046
1678250121,141,1643857
1678297318,138,1483452
1678336318,141,1643224
1678383518,132,1310368
1678422516,140,1593416
1678508715,137,1469487
1678594915,132,1331069
1678681116,125,1226675
1678767319,114,1082125
1678853524,100,461043
1680026967,103,661424
1680238366,104,717213
1680324556,117,1123638
1680410748,127,1237579
1680496942,134,1386225
1680583136,139,1557526
1680669332,141,1652214
1680755529,142,1705921
1680841727,141,1650663
1680927926,138,1513021
1681014126,133,1357505
1681100328,125,1229098
1681186531,114,1082924
1681272735,101,534603
1683691946,102,602807
1690863376,117,1112077
1690949580,104,704656
1692506808,124,1210431
1692593001,132,1326555
1692679195,138,1503826
1692765391,141,1641143
1692851588,141,1641653
1692937785,141,1640627
1693023984,139,1543131
1693110184,134,1369101
1693196385,127,1236999
1693282587,118,1130645
1693368791,106,807814
1694542240,97,204042
1694628430,112,1040241
1694714623,122,1200034
1694753639,98,294850
1694800816,131,1317876
1694839828,114,1078109
1694887011,137,1477578
1694926020,124,1211216
1694973207,140,1601934
1695012213,132,1326858
1695098407,138,1503945
1695184603,140,1592029
1695270799,142,1697709
1695356997,141,1643752
1695443196,138,1505496
1695529396,134,1372645
1695615596,128,1253743
1695701799,118,1134439
1695788003,106,811165
1696961452,96,105171
1697047642,112,1036287
1697133835,122,1195566
1697172851,98,295707
1697220028,131,1313021
1697259040,113,1058672
1697306223,136,1438001
1697345232,123,1202044
1697392418,140,1595812
1697431425,131,1307505
1697478615,142,1698958
1697517619,137,1466223
1697564812,142,1697682
1697603815,140,1591258
1697651011,139,1558892
1697690011,142,1697084
1697737210,135,1412780
1697776209,141,1644367
1697823410,129,1281807
1697862407,139,1548785
1697909611,120,1174348
1697948607,135,1402668
1697995814,108,909244
1698034808,128,1256398
1698121010,119,1150197
1698207214,107,857568
1699380664,96,105026
1699466854,111,1007857
1699553047,121,1182864
1699639240,130,1293043
1699725435,136,1435927
1699811630,140,1593809
1699897827,141,1643041
1699984024,142,1696823
1700070222,140,1592215
1700156421,136,1433323
1700242622,129,1283130
1700328823,120,1174313
1700415026,108,908378
1701886066,110,977501
1701972259,121,1182307
1702058452,130,1292517
1702144647,135,1404691
1702230842,140,1593177
1702317039,141,1642378
1702403236,141,1641990
1702489434,140,1592097
1702575633,136,1433821
1702661833,130,1301281
1702748034,122,1197132
1702834237,109,944761
